"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m3","kom","female","Randers","2011",10589,37194,10407,36965
"m3","kom","female","Randers","2012",10697,37173,10577,37167
"m3","kom","female","Randers","2013",10735,36977,10674,37113
"m3","kom","female","Randers","2014",10734,36507,10722,36884
"m3","kom","female","Randers","2015",10752,36088,10740,36520
"m3","kom","female","Randers","2016",10790,35728,10759,36107
"m3","kom","female","Rebild","2007",2874,37437,NA,NA
"m3","kom","female","Rebild","2008",2922,37476,NA,NA
"m3","kom","female","Rebild","2009",2953,37469,2916,37466
"m3","kom","female","Rebild","2010",3018,37762,2964,37576
"m3","kom","female","Rebild","2011",3045,37592,3005,37612
"m3","kom","female","Rebild","2012",3053,37282,3039,37540
"m3","kom","female","Rebild","2013",3047,36601,3048,37156
"m3","kom","female","Rebild","2014",3046,35967,3049,36615
"m3","kom","female","Rebild","2015",3048,35395,3047,35981
"m3","kom","female","Rebild","2016",3099,35367,3064,35579
"m3","kom","female","Ringkøbing-Skjern","2007",5579,33999,NA,NA
"m3","kom","female","Ringkøbing-Skjern","2008",5821,35026,NA,NA
"m3","kom","female","Ringkøbing-Skjern","2009",6039,35784,5813,34945
"m3","kom","female","Ringkøbing-Skjern","2010",6121,35816,5994,35546
"m3","kom","female","Ringkøbing-Skjern","2011",6163,35658,6108,35754
"m3","kom","female","Ringkøbing-Skjern","2012",6293,35817,6192,35761
"m3","kom","female","Ringkøbing-Skjern","2013",6353,35600,6270,35689
"m3","kom","female","Ringkøbing-Skjern","2014",6373,35260,6340,35558
"m3","kom","female","Ringkøbing-Skjern","2015",6392,34966,6373,35267
"m3","kom","female","Ringkøbing-Skjern","2016",6411,34702,6392,34967
"m3","kom","female","Ringsted","2007",3051,35567,NA,NA
"m3","kom","female","Ringsted","2008",3184,36511,NA,NA
"m3","kom","female","Ringsted","2009",3266,36834,3167,36317
"m3","kom","female","Ringsted","2010",3276,36612,3242,36652
"m3","kom","female","Ringsted","2011",3326,36337,3289,36592
"m3","kom","female","Ringsted","2012",3375,36097,3326,36352
"m3","kom","female","Ringsted","2013",3375,35514,3359,35988
"m3","kom","female","Ringsted","2014",3416,35221,3389,35603
"m3","kom","female","Ringsted","2015",3419,34684,3403,35128
"m3","kom","female","Ringsted","2016",3430,34198,3422,34695
"m3","kom","female","Roskilde","2007",6998,30697,NA,NA
"m3","kom","female","Roskilde","2008",7217,31218,NA,NA
"m3","kom","female","Roskilde","2009",7378,31381,7198,31099
"m3","kom","female","Roskilde","2010",7529,31427,7375,31346
"m3","kom","female","Roskilde","2011",7686,31515,7531,31445
"m3","kom","female","Roskilde","2012",7799,31366,7671,31431
"m3","kom","female","Roskilde","2013",7878,31126,7788,31328
"m3","kom","female","Roskilde","2014",7850,30501,7842,30995
"m3","kom","female","Roskilde","2015",7909,30055,7879,30554
"m3","kom","female","Roskilde","2016",7884,29321,7881,29947
"m3","kom","female","Rudersdal","2007",5262,28423,NA,NA
"m3","kom","female","Rudersdal","2008",5315,28611,NA,NA
"m3","kom","female","Rudersdal","2009",5349,28535,5309,28519
"m3","kom","female","Rudersdal","2010",5419,28363,5361,28504
"m3","kom","female","Rudersdal","2011",5427,28014,5398,28315
"m3","kom","female","Rudersdal","2012",5464,27959,5437,28121
"m3","kom","female","Rudersdal","2013",5428,27354,5440,27766
"m3","kom","female","Rudersdal","2014",5332,26445,5408,27242
"m3","kom","female","Rudersdal","2015",5261,25839,5340,26545
"m3","kom","female","Rudersdal","2016",5253,25633,5282,25976
"m3","kom","female","Rødovre","2007",3988,33641,NA,NA
"m3","kom","female","Rødovre","2008",4164,35127,NA,NA
"m3","kom","female","Rødovre","2009",4219,35471,4124,34750
"m3","kom","female","Rødovre","2010",4224,35459,4202,35355
"m3","kom","female","Rødovre","2011",4180,34975,4208,35297
"m3","kom","female","Rødovre","2012",4238,35140,4214,35188
"m3","kom","female","Rødovre","2013",4241,34851,4220,34990
"m3","kom","female","Rødovre","2014",4259,34675,4246,34892
"m3","kom","female","Rødovre","2015",4206,34158,4235,34563
"m3","kom","female","Rødovre","2016",4104,33262,4190,34027
"m3","kom","female","Samsø","2007",537,31569,NA,NA
"m3","kom","female","Samsø","2008",537,31614,NA,NA
"m3","kom","female","Samsø","2009",534,31524,536,31570
"m3","kom","female","Samsø","2010",542,31440,538,31504
"m3","kom","female","Samsø","2011",543,31667,540,31522
"m3","kom","female","Samsø","2012",542,31013,542,31368
"m3","kom","female","Samsø","2013",529,30186,538,30968
"m3","kom","female","Samsø","2014",520,29949,530,30417
"m3","kom","female","Samsø","2015",514,29478,521,29896
"m3","kom","female","Samsø","2016",510,28895,515,29435
"m3","kom","female","Silkeborg","2007",7722,32913,NA,NA
"m3","kom","female","Silkeborg","2008",7942,33225,NA,NA
"m3","kom","female","Silkeborg","2009",8202,33827,7955,33326
"m3","kom","female","Silkeborg","2010",8305,33750,8150,33606
"m3","kom","female","Silkeborg","2011",8426,33795,8311,33791
"m3","kom","female","Silkeborg","2012",8554,33675,8428,33739
"m3","kom","female","Silkeborg","2013",8572,33141,8517,33534
"m3","kom","female","Silkeborg","2014",8578,32615,8568,33135
"m3","kom","female","Silkeborg","2015",8633,32248,8594,32661
"m3","kom","female","Silkeborg","2016",8626,31630,8612,32157
"m3","kom","female","Skanderborg","2007",4442,32447,NA,NA
"m3","kom","female","Skanderborg","2008",4663,33209,NA,NA
"m3","kom","female","Skanderborg","2009",4752,33196,4619,32962
"m3","kom","female","Skanderborg","2010",4914,33406,4776,33271
"m3","kom","female","Skanderborg","2011",5052,33521,4906,33374
"m3","kom","female","Skanderborg","2012",5106,33203,5024,33380
"m3","kom","female","Skanderborg","2013",5157,32833,5105,33184
"m3","kom","female","Skanderborg","2014",5156,32034,5140,32684
"m3","kom","female","Skanderborg","2015",5174,31378,5162,32072
"m3","kom","female","Skanderborg","2016",5206,30793,5179,31392
"m3","kom","female","Skive","2007",5260,37197,NA,NA
"m3","kom","female","Skive","2008",5435,37988,NA,NA
"m3","kom","female","Skive","2009",5562,38386,5419,37863
"m3","kom","female","Skive","2010",5659,38747,5552,38379
"m3","kom","female","Skive","2011",5747,38918,5656,38687
"m3","kom","female","Skive","2012",5774,38602,5727,38759
"m3","kom","female","Skive","2013",5754,38142,5758,38555
"m3","kom","female","Skive","2014",5766,37833,5765,38191
"m3","kom","female","Skive","2015",5794,37587,5771,37853
"m3","kom","female","Skive","2016",5848,37559,5803,37657
"m3","kom","female","Slagelse","2007",8003,34709,NA,NA
"m3","kom","female","Slagelse","2008",8350,35856,NA,NA
"m3","kom","female","Slagelse","2009",8493,36062,8282,35551
"m3","kom","female","Slagelse","2010",8601,36168,8481,36030
"m3","kom","female","Slagelse","2011",8779,36571,8624,36268
"m3","kom","female","Slagelse","2012",8848,36415,8743,36384
"m3","kom","female","Slagelse","2013",8884,36094,8837,36360
"m3","kom","female","Slagelse","2014",8867,35665,8866,36060
"m3","kom","female","Slagelse","2015",8911,35251,8887,35671
"m3","kom","female","Slagelse","2016",8897,34603,8892,35170
"m3","kom","female","Solrød","2007",1803,33501,NA,NA
"m3","kom","female","Solrød","2008",1848,33235,NA,NA
"m3","kom","female","Solrød","2009",1913,33690,1855,33469
"m3","kom","female","Solrød","2010",1951,33793,1904,33584
"m3","kom","female","Solrød","2011",2003,33547,1956,33686
"m3","kom","female","Solrød","2012",2060,33630,2005,33660
"m3","kom","female","Solrød","2013",2049,32714,2037,33283
"m3","kom","female","Solrød","2014",2056,32297,2055,32862
"m3","kom","female","Solrød","2015",2037,31444,2047,32147
"m3","kom","female","Solrød","2016",2060,31219,2051,31654
"m3","kom","female","Sorø","2007",2955,34713,NA,NA
"m3","kom","female","Sorø","2008",3084,35820,NA,NA
"m3","kom","female","Sorø","2009",3142,35823,3060,35451
"m3","kom","female","Sorø","2010",3190,35824,3139,35829
"m3","kom","female","Sorø","2011",3252,36105,3195,35930
"m3","kom","female","Sorø","2012",3312,36235,3251,36058
"m3","kom","female","Sorø","2013",3295,35574,3286,35972
"m3","kom","female","Sorø","2014",3333,35371,3313,35729
"m3","kom","female","Sorø","2015",3357,34953,3328,35296
"m3","kom","female","Sorø","2016",3372,34539,3354,34945
"m3","kom","female","Stevns","2007",2209,32822,NA,NA
"m3","kom","female","Stevns","2008",2288,33365,NA,NA
"m3","kom","female","Stevns","2009",2333,33416,2277,33213
"m3","kom","female","Stevns","2010",2414,34045,2345,33611
"m3","kom","female","Stevns","2011",2455,34186,2401,33892
"m3","kom","female","Stevns","2012",2465,33828,2445,34018
"m3","kom","female","Stevns","2013",2480,33296,2467,33766
"m3","kom","female","Stevns","2014",2470,32523,2472,33210
"m3","kom","female","Stevns","2015",2443,31483,2464,32424
"m3","kom","female","Stevns","2016",2461,31075,2458,31680
"m3","kom","female","Struer","2007",2379,35684,NA,NA
"m3","kom","female","Struer","2008",2460,36369,NA,NA
"m3","kom","female","Struer","2009",2528,36635,2456,36230
"m3","kom","female","Struer","2010",2579,36956,2522,36661
"m3","kom","female","Struer","2011",2636,37591,2581,37068
"m3","kom","female","Struer","2012",2658,37248,2624,37275
"m3","kom","female","Struer","2013",2677,37214,2657,37342
"m3","kom","female","Struer","2014",2704,37144,2680,37195
"m3","kom","female","Struer","2015",2750,37320,2710,37227
"m3","kom","female","Struer","2016",2761,37065,2738,37176
"m3","kom","female","Svendborg","2007",5987,32852,NA,NA
"m3","kom","female","Svendborg","2008",6107,33152,NA,NA
"m3","kom","female","Svendborg","2009",6259,33668,6118,33222
"m3","kom","female","Svendborg","2010",6332,33663,6233,33496
"m3","kom","female","Svendborg","2011",6406,33597,6332,33648
"m3","kom","female","Svendborg","2012",6461,33417,6400,33559
"m3","kom","female","Svendborg","2013",6432,32823,6433,33274
"m3","kom","female","Svendborg","2014",6364,32146,6419,32787
"m3","kom","female","Svendborg","2015",6362,31856,6386,32268
"m3","kom","female","Svendborg","2016",6307,31053,6344,31684
"m3","kom","female","Syddjurs","2007",4145,33047,NA,NA
"m3","kom","female","Syddjurs","2008",4320,33890,NA,NA
"m3","kom","female","Syddjurs","2009",4401,33925,4289,33625
"m3","kom","female","Syddjurs","2010",4562,34525,4428,34119
"m3","kom","female","Syddjurs","2011",4631,34410,4531,34290
"m3","kom","female","Syddjurs","2012",4701,34345,4631,34434
"m3","kom","female","Syddjurs","2013",4679,33673,4670,34140
"m3","kom","female","Syddjurs","2014",4629,32723,4670,33574
"m3","kom","female","Syddjurs","2015",4628,32260,4645,32884
"m3","kom","female","Syddjurs","2016",4671,31866,4643,32283
"m3","kom","female","Sønderborg","2007",8781,37264,NA,NA
"m3","kom","female","Sønderborg","2008",9138,38261,NA,NA
"m3","kom","female","Sønderborg","2009",9351,38647,9090,38063
"m3","kom","female","Sønderborg","2010",9562,39159,9350,38696
"m3","kom","female","Sønderborg","2011",9696,39298,9536,39034
"m3","kom","female","Sønderborg","2012",9762,39028,9673,39160
"m3","kom","female","Sønderborg","2013",9804,38580,9754,38968
"m3","kom","female","Sønderborg","2014",9803,38261,9790,38621
"m3","kom","female","Sønderborg","2015",9810,37808,9806,38218
"m3","kom","female","Sønderborg","2016",9794,37256,9802,37771
"m3","kom","female","Thisted","2007",5050,36017,NA,NA
"m3","kom","female","Thisted","2008",5207,36777,NA,NA
"m3","kom","female","Thisted","2009",5309,37024,5189,36608
"m3","kom","female","Thisted","2010",5406,37675,5307,37159
"m3","kom","female","Thisted","2011",5405,37459,5373,37392
"m3","kom","female","Thisted","2012",5427,37327,5413,37489
"m3","kom","female","Thisted","2013",5416,36933,5416,37241
"m3","kom","female","Thisted","2014",5356,36302,5400,36855
"m3","kom","female","Thisted","2015",5331,35897,5368,36373
"m3","kom","female","Thisted","2016",5327,35586,5338,35928
"m3","kom","female","Tårnby","2007",4415,34931,NA,NA
"m3","kom","female","Tårnby","2008",4521,35719,NA,NA
"m3","kom","female","Tårnby","2009",4582,35992,4506,35546
"m3","kom","female","Tårnby","2010",4626,36080,4576,35929
"m3","kom","female","Tårnby","2011",4720,36457,4643,36181
"m3","kom","female","Tårnby","2012",4790,36687,4712,36413
"m3","kom","female","Tårnby","2013",4769,36232,4760,36463
"m3","kom","female","Tårnby","2014",4718,35622,4759,36178
"m3","kom","female","Tårnby","2015",4686,35093,4724,35650
"m3","kom","female","Tårnby","2016",4685,34887,4696,35201
"m3","kom","female","Tønder","2007",4580,35849,NA,NA
"m3","kom","female","Tønder","2008",4682,36382,NA,NA
"m3","kom","female","Tønder","2009",4795,37083,4686,36439
"m3","kom","female","Tønder","2010",4940,38092,4806,37185
"m3","kom","female","Tønder","2011",4967,38086,4901,37754
"m3","kom","female","Tønder","2012",5079,38636,4995,38264
"m3","kom","female","Tønder","2013",5072,38235,5039,38313
"m3","kom","female","Tønder","2014",5050,37895,5067,38260
"m3","kom","female","Tønder","2015",5055,37661,5059,37932
"m3","kom","female","Tønder","2016",5031,37236,5045,37597
"m3","kom","female","Vallensbæk","2007",1218,35536,NA,NA
"m3","kom","female","Vallensbæk","2008",1296,36825,NA,NA
"m3","kom","female","Vallensbæk","2009",1346,36617,1287,36327
"m3","kom","female","Vallensbæk","2010",1405,36659,1349,36707
"m3","kom","female","Vallensbæk","2011",1454,37048,1402,36795
"m3","kom","female","Vallensbæk","2012",1471,36593,1443,36779
"m3","kom","female","Vallensbæk","2013",1490,36166,1472,36590
"m3","kom","female","Vallensbæk","2014",1494,35224,1485,35978
"m3","kom","female","Vallensbæk","2015",1481,34321,1488,35226
"m3","kom","female","Vallensbæk","2016",1509,34301,1495,34621
"m3","kom","female","Varde","2007",5051,35042,NA,NA
"m3","kom","female","Varde","2008",5321,36436,NA,NA
"m3","kom","female","Varde","2009",5446,36865,5273,36122
"m3","kom","female","Varde","2010",5592,37400,5453,36908
"m3","kom","female","Varde","2011",5652,37386,5563,37222
"m3","kom","female","Varde","2012",5755,37494,5666,37432
"m3","kom","female","Varde","2013",5744,36834,5717,37245
"m3","kom","female","Varde","2014",5751,36365,5750,36896
"m3","kom","female","Varde","2015",5746,35813,5747,36334
"m3","kom","female","Varde","2016",5802,35601,5766,35926
"m3","kom","female","Vejen","2007",4333,36492,NA,NA
"m3","kom","female","Vejen","2008",4501,37299,NA,NA
"m3","kom","female","Vejen","2009",4650,37960,4495,37255
"m3","kom","female","Vejen","2010",4776,38836,4642,38036
"m3","kom","female","Vejen","2011",4797,38523,4741,38447
"m3","kom","female","Vejen","2012",4931,38961,4835,38777
"m3","kom","female","Vejen","2013",4938,38578,4889,38686
"m3","kom","female","Vejen","2014",4924,37858,4931,38458
"m3","kom","female","Vejen","2015",4872,37078,4911,37832
"m3","kom","female","Vejen","2016",4969,37352,4922,37427
"m3","kom","female","Vejle","2007",10195,35230,NA,NA
"m3","kom","female","Vejle","2008",10432,35556,NA,NA
"m3","kom","female","Vejle","2009",10730,35908,10452,35568
"m3","kom","female","Vejle","2010",10854,36004,10672,35823
"m3","kom","female","Vejle","2011",11024,36050,10869,35987
"m3","kom","female","Vejle","2012",11102,35647,10993,35898
"m3","kom","female","Vejle","2013",11177,35169,11101,35616
"m3","kom","female","Vejle","2014",11271,34846,11183,35215
"m3","kom","female","Vejle","2015",11261,34217,11236,34736
"m3","kom","female","Vejle","2016",11364,33979,11299,34341
"m3","kom","female","Vesthimmerlands","2007",4223,36648,NA,NA
"m3","kom","female","Vesthimmerlands","2008",4364,37685,NA,NA
"m3","kom","female","Vesthimmerlands","2009",4509,38733,4365,37692
"m3","kom","female","Vesthimmerlands","2010",4584,39056,4486,38496
"m3","kom","female","Vesthimmerlands","2011",4614,39115,4569,38968
"m3","kom","female","Vesthimmerlands","2012",4610,38884,4603,39019
"m3","kom","female","Vesthimmerlands","2013",4616,38428,4613,38808
"m3","kom","female","Vesthimmerlands","2014",4635,38271,4620,38523
"m3","kom","female","Vesthimmerlands","2015",4609,37485,4620,38059
"m3","kom","female","Vesthimmerlands","2016",4621,37137,4622,37632
"m3","kom","female","Viborg","2007",8531,33633,NA,NA
"m3","kom","female","Viborg","2008",8791,34162,NA,NA
"m3","kom","female","Viborg","2009",9072,34623,8798,34145
"m3","kom","female","Viborg","2010",9258,34828,9040,34543
"m3","kom","female","Viborg","2011",9458,35164,9263,34876
"m3","kom","female","Viborg","2012",9691,35404,9469,35135
"m3","kom","female","Viborg","2013",9706,34917,9618,35161
"m3","kom","female","Viborg","2014",9709,34413,9702,34909
"m3","kom","female","Viborg","2015",9785,34161,9733,34495
"m3","kom","female","Viborg","2016",9823,33653,9772,34072
"m3","kom","female","Vordingborg","2007",4941,31580,NA,NA
"m3","kom","female","Vordingborg","2008",5152,32479,NA,NA
"m3","kom","female","Vordingborg","2009",5239,32699,5111,32260
"m3","kom","female","Vordingborg","2010",5310,32773,5234,32650
"m3","kom","female","Vordingborg","2011",5366,32923,5305,32795
"m3","kom","female","Vordingborg","2012",5377,32652,5351,32782
"m3","kom","female","Vordingborg","2013",5431,32678,5391,32752
"m3","kom","female","Vordingborg","2014",5393,32311,5400,32547
"m3","kom","female","Vordingborg","2015",5363,31520,5396,32168
"m3","kom","female","Vordingborg","2016",5462,31508,5406,31776
"m3","kom","female","Ærø","2007",927,31522,NA,NA
"m3","kom","female","Ærø","2008",943,32424,NA,NA
"m3","kom","female","Ærø","2009",939,32102,936,32034
"m3","kom","female","Ærø","2010",958,32761,947,32422
"m3","kom","female","Ærø","2011",971,32595,956,32478
"m3","kom","female","Ærø","2012",966,32480,965,32614
"m3","kom","female","Ærø","2013",967,32682,968,32578
"m3","kom","female","Ærø","2014",949,31730,961,32301
"m3","kom","female","Ærø","2015",939,31556,952,31995
"m3","kom","female","Ærø","2016",913,30182,934,31160
"m3","kom","male","Aabenraa","2007",5000,31391,NA,NA
"m3","kom","male","Aabenraa","2008",5284,32427,NA,NA
"m3","kom","male","Aabenraa","2009",5518,32984,5267,32274
"m3","kom","male","Aabenraa","2010",5685,33585,5496,33005
"m3","kom","male","Aabenraa","2011",5864,34070,5689,33550
"m3","kom","male","Aabenraa","2012",6044,34568,5864,34084
"m3","kom","male","Aabenraa","2013",6215,35072,6041,34583
"m3","kom","male","Aabenraa","2014",6287,34984,6182,34882
"m3","kom","male","Aabenraa","2015",6425,35270,6309,35112
"m3","kom","male","Aabenraa","2016",6516,35159,6409,35137
"m3","kom","male","Aalborg","2007",15361,33903,NA,NA
"m3","kom","male","Aalborg","2008",16026,34849,NA,NA
"m3","kom","male","Aalborg","2009",16586,35519,15991,34764
"m3","kom","male","Aalborg","2010",17060,36050,16557,35479
"m3","kom","male","Aalborg","2011",17374,36187,17007,35925
"m3","kom","male","Aalborg","2012",17666,36206,17367,36149
"m3","kom","male","Aalborg","2013",17904,36027,17648,36138
"m3","kom","male","Aalborg","2014",18050,35783,17873,36004
"m3","kom","male","Aalborg","2015",18182,35521,18045,35777
"m3","kom","male","Aalborg","2016",18418,35447,18217,35585
"m3","kom","male","Aarhus","2007",17852,30844,NA,NA
"m3","kom","male","Aarhus","2008",18793,31779,NA,NA
"m3","kom","male","Aarhus","2009",19564,32423,18736,31695
"m3","kom","male","Aarhus","2010",20265,32903,19541,32378
"m3","kom","male","Aarhus","2011",20797,33087,20209,32810
"m3","kom","male","Aarhus","2012",21199,33057,20754,33020
"m3","kom","male","Aarhus","2013",21380,32774,21125,32973
"m3","kom","male","Aarhus","2014",21513,32292,21364,32705
"m3","kom","male","Aarhus","2015",21644,31961,21512,32338
"m3","kom","male","Aarhus","2016",21720,31435,21626,31892
"m3","kom","male","Albertslund","2007",1974,33176,NA,NA
"m3","kom","male","Albertslund","2008",2038,33782,NA,NA
"m3","kom","male","Albertslund","2009",2099,34083,2037,33689
"m3","kom","male","Albertslund","2010",2155,34301,2097,34062
"m3","kom","male","Albertslund","2011",2261,35029,2172,34483
"m3","kom","male","Albertslund","2012",2304,35134,2240,34838
"m3","kom","male","Albertslund","2013",2276,34467,2280,34895
"m3","kom","male","Albertslund","2014",2288,34130,2289,34580
"m3","kom","male","Albertslund","2015",2300,33944,2288,34176
"m3","kom","male","Albertslund","2016",2318,33755,2302,33951
"m3","kom","male","Allerød","2007",1596,28240,NA,NA
"m3","kom","male","Allerød","2008",1675,28992,NA,NA
"m3","kom","male","Allerød","2009",1775,29833,1682,29043
"m3","kom","male","Allerød","2010",1800,29487,1750,29437
"m3","kom","male","Allerød","2011",1895,30052,1823,29790
"m3","kom","male","Allerød","2012",1949,30277,1881,29947
"m3","kom","male","Allerød","2013",1983,30145,1942,30159
"m3","kom","male","Allerød","2014",2019,29938,1984,30118
"m3","kom","male","Allerød","2015",2022,29414,2008,29836
"m3","kom","male","Allerød","2016",2061,29238,2034,29523
"m3","kom","male","Assens","2007",3509,31336,NA,NA
"m3","kom","male","Assens","2008",3673,32232,NA,NA
"m3","kom","male","Assens","2009",3773,32553,3652,32039
"m3","kom","male","Assens","2010",3908,33174,3785,32653
"m3","kom","male","Assens","2011",4047,33868,3909,33205
"m3","kom","male","Assens","2012",4183,34284,4046,33778
"m3","kom","male","Assens","2013",4271,34168,4167,34096
"m3","kom","male","Assens","2014",4254,33634,4236,34013
"m3","kom","male","Assens","2015",4332,33812,4286,33867
"m3","kom","male","Assens","2016",4367,33454,4318,33631
"m3","kom","male","Ballerup","2007",3838,32456,NA,NA
"m3","kom","male","Ballerup","2008",4003,33098,NA,NA
"m3","kom","male","Ballerup","2009",4125,33523,3989,33037
"m3","kom","male","Ballerup","2010",4237,34018,4122,33556
"m3","kom","male","Ballerup","2011",4331,34548,4231,34031
"m3","kom","male","Ballerup","2012",4381,34602,4316,34396
"m3","kom","male","Ballerup","2013",4400,34316,4371,34492
"m3","kom","male","Ballerup","2014",4466,34142,4416,34348
"m3","kom","male","Ballerup","2015",4487,33880,4451,34108
"m3","kom","male","Ballerup","2016",4526,33847,4493,33955
"m3","kom","male","Billund","2007",2155,32660,NA,NA
"m3","kom","male","Billund","2008",2289,33821,NA,NA
"m3","kom","male","Billund","2009",2388,34642,2277,33712
"m3","kom","male","Billund","2010",2496,35642,2391,34701
"m3","kom","male","Billund","2011",2573,36143,2486,35478
"m3","kom","male","Billund","2012",2602,35952,2557,35907
"m3","kom","male","Billund","2013",2662,35963,2612,36012
"m3","kom","male","Billund","2014",2667,35396,2644,35766
"m3","kom","male","Billund","2015",2698,35262,2676,35530
"m3","kom","male","Billund","2016",2713,34827,2693,35157
"m3","kom","male","Bornholm","2007",4256,32149,NA,NA
"m3","kom","male","Bornholm","2008",4468,33374,NA,NA
"m3","kom","male","Bornholm","2009",4609,34041,4444,33188
"m3","kom","male","Bornholm","2010",4768,34461,4615,33966
"m3","kom","male","Bornholm","2011",4861,34678,4746,34398
"m3","kom","male","Bornholm","2012",4989,35169,4873,34772
"m3","kom","male","Bornholm","2013",5043,35093,4964,34975
"m3","kom","male","Bornholm","2014",5075,34912,5036,35055
"m3","kom","male","Bornholm","2015",5130,34912,5083,34975
"m3","kom","male","Bornholm","2016",5168,34666,5124,34831
"m3","kom","male","Brøndby","2007",2962,33950,NA,NA
"m3","kom","male","Brøndby","2008",3107,35425,NA,NA
"m3","kom","male","Brøndby","2009",3175,35732,3081,35037
"m3","kom","male","Brøndby","2010",3253,36485,3178,35881
"m3","kom","male","Brøndby","2011",3328,36916,3252,36393
"m3","kom","male","Brøndby","2012",3341,36765,3307,36736
"m3","kom","male","Brøndby","2013",3339,36505,3336,36729
"m3","kom","male","Brøndby","2014",3279,35661,3320,36311
"m3","kom","male","Brøndby","2015",3316,35463,3311,35871
"m3","kom","male","Brøndby","2016",3355,35456,3317,35528
"m3","kom","male","Brønderslev","2007",3216,33183,NA,NA
"m3","kom","male","Brønderslev","2008",3342,33961,NA,NA
"m3","kom","male","Brønderslev","2009",3469,34620,3342,33932
"m3","kom","male","Brønderslev","2010",3562,35003,3458,34535
"m3","kom","male","Brønderslev","2011",3657,35592,3563,35077
"m3","kom","male","Brønderslev","2012",3692,35353,3637,35316
"m3","kom","male","Brønderslev","2013",3738,35472,3696,35465
"m3","kom","male","Brønderslev","2014",3781,35385,3737,35404
"m3","kom","male","Brønderslev","2015",3847,35265,3789,35370
"m3","kom","male","Brønderslev","2016",3885,35039,3838,35231
"m3","kom","male","Christiansø","2007",NA,NA,NA,NA
"m3","kom","male","Christiansø","2008",NA,NA,NA,NA
"m3","kom","male","Christiansø","2009",NA,NA,6,NA
"m3","kom","male","Christiansø","2010",NA,NA,6,NA
"m3","kom","male","Christiansø","2011",NA,NA,6,NA
"m3","kom","male","Christiansø","2012",NA,NA,7,NA
"m3","kom","male","Christiansø","2013",NA,NA,8,NA
"m3","kom","male","Christiansø","2014",NA,NA,8,NA
"m3","kom","male","Christiansø","2015",11,23552,9,NA
"m3","kom","male","Christiansø","2016",NA,NA,9,NA
"m3","kom","male","Dragør","2007",1124,29707,NA,NA
"m3","kom","male","Dragør","2008",1194,30512,NA,NA
"m3","kom","male","Dragør","2009",1238,30808,1185,30363
"m3","kom","male","Dragør","2010",1289,31500,1240,30956
"m3","kom","male","Dragør","2011",1339,31816,1289,31367
"m3","kom","male","Dragør","2012",1363,31956,1330,31739
"m3","kom","male","Dragør","2013",1392,31822,1365,31870
"m3","kom","male","Dragør","2014",1418,31779,1391,31880
"m3","kom","male","Dragør","2015",1443,31987,1418,31875
"m3","kom","male","Dragør","2016",1445,31744,1435,31836
"m3","kom","male","Egedal","2007",2805,30662,NA,NA
"m3","kom","male","Egedal","2008",2964,31408,NA,NA
"m3","kom","male","Egedal","2009",3107,31856,2959,31323
"m3","kom","male","Egedal","2010",3255,32350,3109,31897
"m3","kom","male","Egedal","2011",3375,32692,3246,32320
"m3","kom","male","Egedal","2012",3516,33150,3382,32734
"m3","kom","male","Egedal","2013",3597,33083,3496,32983
"m3","kom","male","Egedal","2014",3649,32816,3587,33021
"m3","kom","male","Egedal","2015",3652,32161,3633,32672
"m3","kom","male","Egedal","2016",3686,31900,3662,32285
"m3","kom","male","Esbjerg","2007",9183,32824,NA,NA
"m3","kom","male","Esbjerg","2008",9744,34110,NA,NA
"m3","kom","male","Esbjerg","2009",10158,34937,9695,33970
"m3","kom","male","Esbjerg","2010",10465,35294,10122,34790
"m3","kom","male","Esbjerg","2011",10866,36037,10496,35432
"m3","kom","male","Esbjerg","2012",11043,36003,10791,35780
"m3","kom","male","Esbjerg","2013",11098,35600,11002,35880
"m3","kom","male","Esbjerg","2014",11134,35266,11092,35622
"m3","kom","male","Esbjerg","2015",11253,35071,11162,35314
"m3","kom","male","Esbjerg","2016",11419,34947,11269,35096
"m3","kom","male","Faaborg-Midtfyn","2007",4454,30498,NA,NA
"m3","kom","male","Faaborg-Midtfyn","2008",4694,31516,NA,NA
"m3","kom","male","Faaborg-Midtfyn","2009",4807,31881,4652,31301
"m3","kom","male","Faaborg-Midtfyn","2010",4876,31984,4792,31800
"m3","kom","male","Faaborg-Midtfyn","2011",5053,32634,4912,32178
"m3","kom","male","Faaborg-Midtfyn","2012",5183,32915,5037,32519
"m3","kom","male","Faaborg-Midtfyn","2013",5248,32771,5161,32774
"m3","kom","male","Faaborg-Midtfyn","2014",5267,32504,5233,32731
"m3","kom","male","Faaborg-Midtfyn","2015",5314,32359,5276,32551
"m3","kom","male","Faaborg-Midtfyn","2016",5404,32253,5328,32377
"m3","kom","male","Fanø","2007",361,34315,NA,NA
"m3","kom","male","Fanø","2008",384,35094,NA,NA
"m3","kom","male","Fanø","2009",402,35302,382,34916
"m3","kom","male","Fanø","2010",410,36679,399,35700
"m3","kom","male","Fanø","2011",418,36290,410,36092
"m3","kom","male","Fanø","2012",445,37249,424,36776
"m3","kom","male","Fanø","2013",451,37643,438,37062
"m3","kom","male","Fanø","2014",455,36002,450,36943
"m3","kom","male","Fanø","2015",460,34729,455,36080
