"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m1","kom","female","Aarhus","2008",6436,8618,NA,NA
"m1","kom","female","Aarhus","2009",6371,8434,6442,8628
"m1","kom","female","Aarhus","2010",6250,8168,6352,8405
"m1","kom","female","Aarhus","2011",6215,8034,6279,8210
"m1","kom","female","Aarhus","2012",6182,7933,6216,8042
"m1","kom","female","Aarhus","2013",6138,7780,6178,7913
"m1","kom","female","Aarhus","2014",6013,7530,6111,7745
"m1","kom","female","Aarhus","2015",5904,7313,6018,7538
"m1","kom","female","Aarhus","2016",5782,7072,5900,7302
"m1","kom","female","Albertslund","2007",471,7289,NA,NA
"m1","kom","female","Albertslund","2008",518,7942,NA,NA
"m1","kom","female","Albertslund","2009",511,7905,500,7722
"m1","kom","female","Albertslund","2010",475,7121,501,7648
"m1","kom","female","Albertslund","2011",502,7398,496,7463
"m1","kom","female","Albertslund","2012",495,7189,491,7237
"m1","kom","female","Albertslund","2013",496,6918,498,7158
"m1","kom","female","Albertslund","2014",513,7021,501,7039
"m1","kom","female","Albertslund","2015",477,6391,495,6770
"m1","kom","female","Albertslund","2016",510,6638,500,6672
"m1","kom","female","Allerød","2007",461,7244,NA,NA
"m1","kom","female","Allerød","2008",519,7828,NA,NA
"m1","kom","female","Allerød","2009",513,7444,498,7500
"m1","kom","female","Allerød","2010",455,6567,496,7268
"m1","kom","female","Allerød","2011",528,7341,499,7121
"m1","kom","female","Allerød","2012",546,7452,510,7126
"m1","kom","female","Allerød","2013",486,6545,520,7102
"m1","kom","female","Allerød","2014",536,6951,523,6970
"m1","kom","female","Allerød","2015",481,6137,501,6530
"m1","kom","female","Allerød","2016",464,5856,494,6308
"m1","kom","female","Assens","2007",988,7821,NA,NA
"m1","kom","female","Assens","2008",1028,8033,NA,NA
"m1","kom","female","Assens","2009",1075,8284,1030,8049
"m1","kom","female","Assens","2010",1019,7808,1041,8038
"m1","kom","female","Assens","2011",976,7501,1023,7865
"m1","kom","female","Assens","2012",955,7268,983,7523
"m1","kom","female","Assens","2013",977,7375,969,7377
"m1","kom","female","Assens","2014",906,6759,946,7131
"m1","kom","female","Assens","2015",914,6795,932,6975
"m1","kom","female","Assens","2016",861,6337,894,6624
"m1","kom","female","Ballerup","2007",1034,7584,NA,NA
"m1","kom","female","Ballerup","2008",1057,7670,NA,NA
"m1","kom","female","Ballerup","2009",1069,7654,1053,7634
"m1","kom","female","Ballerup","2010",1009,7079,1045,7458
"m1","kom","female","Ballerup","2011",1086,7468,1055,7398
"m1","kom","female","Ballerup","2012",1090,7382,1062,7312
"m1","kom","female","Ballerup","2013",1043,6943,1073,7256
"m1","kom","female","Ballerup","2014",1082,7082,1072,7127
"m1","kom","female","Ballerup","2015",1081,6976,1069,7001
"m1","kom","female","Ballerup","2016",1094,6975,1086,7011
"m1","kom","female","Billund","2007",731,9609,NA,NA
"m1","kom","female","Billund","2008",717,9410,NA,NA
"m1","kom","female","Billund","2009",690,8951,713,9323
"m1","kom","female","Billund","2010",670,8666,692,9004
"m1","kom","female","Billund","2011",658,8392,673,8660
"m1","kom","female","Billund","2012",636,8030,655,8356
"m1","kom","female","Billund","2013",607,7591,634,8003
"m1","kom","female","Billund","2014",616,7611,620,7747
"m1","kom","female","Billund","2015",599,7335,607,7512
"m1","kom","female","Billund","2016",592,7200,602,7376
"m1","kom","female","Bornholm","2007",1362,8998,NA,NA
"m1","kom","female","Bornholm","2008",1327,8737,NA,NA
"m1","kom","female","Bornholm","2009",1276,8218,1322,8647
"m1","kom","female","Bornholm","2010",1215,7891,1273,8277
"m1","kom","female","Bornholm","2011",1253,8136,1248,8078
